exhibitorid,phrase,flag
9185851,12step process,0
9185851,360deg view,0
9185851,5part course,0
9185851,accessible kpis,0
9185851,access resources,0
9185851,accountants instrument,0
9185851,accountants repeat,0
9185851,accountant tools,0
9185851,accurate budgets,1
9185851,actionable management tool quickbooks reports,0
9185851,action plans,0
9185851,action wizards,0
9185851,actual financial performance,1
9185851,additional data understanding yearend reports,0
9185851,additional fee income,0
9185851,addon application,0
9185851,administrative tasks,0
9185851,adrian phillips,0
9185851,advisor arsenal,0
9185851,advisor yes,0
9185851,advisory services,0
9185851,advisory services adv qbo cert exam prep part,0
9185851,adv qbo cert exam prep part,1
9185851,agendas newsletters,0
9185851,allinone workflow solution,0
9185851,analyze data detect,0
9185851,app ecosystem,0
9185851,applications part,0
9185851,applicationsto automate,0
9185851,application visual,0
9185851,appropriate quickbooks product,0
9185851,appropriate steps,0
9185851,app showcase,0
9185851,articles meeting,0
9185851,asset attendees,0
9185851,attention proadvisors,0
9185851,audit process,0
9185851,audit services,0
9185851,author michelle l,0
9185851,autofill command,0
9185851,automate repetitive work,0
9185851,available addon modulesgain,0
9185851,available contacts,0
9185851,az part,0
9185851,backend items preferences etc,0
9185851,back office,0
9185851,bank reconciliation,0
9185851,bank time,0
9185851,basic code,0
9185851,basic editor,0
9185851,basic financials,1
9185851,basic rules youll,0
9185851,basic yearend tasks,0
9185851,beginning balances,1
9185851,bestinclass service,0
9185851,bestquot tips,0
9185851,billable time,1
9185851,bill automation,0
9185851,billcom weve,0
9185851,blue hill research,1
9185851,bookkeeping processes,0
9185851,bottom line,0
9185851,bpo practice,0
9185851,bpo practice management roadmap,0
9185851,bqe software,1
9185851,breakout intuit developer group,0
9185851,building apps,0
9185851,builtin functions,0
9185851,business acumen character,0
9185851,business advantages,0
9185851,business advisor,0
9185851,business advisors,1
9185851,business case,1
9185851,business cash flow,1
9185851,business clients,0
9185851,business cpalearn,0
9185851,business decisions,0
9185851,business development,0
9185851,businesses clients,0
9185851,businessnbspyou donrsquot need,0
9185851,business owner,0
9185851,business owners,0
9185851,business process automation,0
9185851,business processes,0
9185851,business process simplification soup,0
9185851,busy market,1
9185851,case studies,1
9185851,case studies youll,0
9185851,case study,0
9185851,cash flow,0
9185851,cash flow gaps,1
9185851,cash flow improvement,0
9185851,cash flow management kpi,1
9185851,cash flow management technology,1
9185851,center report titles,0
9185851,certain uses,0
9185851,certification exam prep course,1
9185851,certification path,1
9185851,certification paths,0
9185851,certification prep class,0
9185851,certification test,0
9185851,cfo services,0
9185851,chain logistics understanding,0
9185851,chain quickbooks,0
9185851,characters i,0
9185851,charities membership associations schools,0
9185851,chris farrell ceo,0
9185851,churches youll,0
9185851,citrix sharefile,0
9185851,clear understanding,0
9185851,client39s files,1
9185851,client39s problems explore potential solutions test,0
9185851,client39s quickbooks data,0
9185851,client39s quickbooks file fix,1
9185851,client39s websites,0
9185851,client costs,0
9185851,client customization,0
9185851,client data review,1
9185851,client engagement documents,0
9185851,client engagements part,1
9185851,client errors,0
9185851,client evaluation,0
9185851,client manage source documents,0
9185851,client points,0
9185851,client portals,0
9185851,client retention benefits,0
9185851,clients awake,0
9185851,clients business,0
9185851,clients collaborate,0
9185851,clients controller,0
9185851,clients data,0
9185851,clients eyes,0
9185851,clients management team,0
9185851,clients need,1
9185851,clients onsite,1
9185851,client spreadsheets,0
9185851,clients qbo,0
9185851,clients quickbooks file,0
9185851,clients record,0
9185851,clients youll,0
9185851,cloud applications,0
9185851,cloud apps,0
9185851,cloud crm,0
9185851,cloud crm projectsjobs time sheets email integration todayrsquos,0
9185851,cloud file storage,0
9185851,collateral email,1
9185851,column headings,0
9185851,comfort zone,0
9185851,common blunders,0
9185851,common errors,1
9185851,common issues,0
9185851,common mistakes qb pos desktop,0
9185851,common mistakes users,0
9185851,common practices,0
9185851,common transactions,0
9185851,communicate besides,0
9185851,communicate reflects,0
9185851,communication gap,0
9185851,communication leaves,0
9185851,companies organizations,0
9185851,company offering,0
9185851,company scenarios,0
9185851,competitive industry,1
9185851,complete certification,0
9185851,complete participation,0
9185851,complete projects,0
9185851,complete timeline,0
9185851,complex conversions,1
9185851,complex conversions beginning,1
9185851,complex problem,1
9185851,complex tasks,0
9185851,computer smartphone,1
9185851,configuration options,0
9185851,consultathon part,0
9185851,consultation installation,0
9185851,continuous process improvement,0
9185851,contractor clients topics,1
9185851,contractors part,1
9185851,controllercfo division,0
9185851,controllercfo practice,0
9185851,corrective actions,0
9185851,correct number,0
9185851,correspondence website content,0
9185851,cost reductions experience,0
9185851,course expands,1
9185851,course introduces q2qs quickbooks,0
9185851,course uses,0
9185851,cpa practice advisor39s,0
9185851,cpas accountants bookkeepers,1
9185851,creative ways,0
9185851,credit card transactions,1
9185851,criminal irs,0
9185851,critical information,0
9185851,critical issues,0
9185851,crm building,0
